description,color,category,tokens_clean
"Bluz - volanlı viskon tercih edilerek üretilen bu bluz, şık tasarım, kolay ütülenir ve günlük kullanım için uygun. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: şık tasarım, kolay ütülenir, günlük kullanım için uygun",mavi,bluz,"['bluz', 'volanlı', 'viskon', 'tercih', 'edilerek', 'üretilen', 'bluz', 'şık', 'tasarım', 'kolay', 'ütülenir', 'günlük', 'kullanım', 'uygun', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'şık', 'tasarım', 'kolay', 'ütülenir', 'günlük', 'kullanım', 'uygun']"
"Çanta - el çantası Yeni sezonun favori parçalarından biri olan bu çanta, polyester kumaşı sayesinde yumuşak doku, nefes alabilir kumaş ve düğmeli model. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: yumuşak doku, nefes alabilir kumaş, düğmeli model",yeşil,çanta,"['çanta', 'el', 'çantası', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'çanta', 'polyester', 'kumaşı', 'sayesinde', 'yumuşak', 'doku', 'nefes', 'alabilir', 'kumaş', 'düğmeli', 'model', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'yumuşak', 'doku', 'nefes', 'alabilir', 'kumaş', 'düğmeli', 'model']"
"Gömlek - uzun kollu likralı kumaş tercih edilerek üretilen bu gömlek, günlük kullanım için uygun, şık tasarım ve düğmeli model. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: günlük kullanım için uygun, şık tasarım, düğmeli model",pembe,gömlek,"['gömlek', 'uzun', 'kollu', 'likralı', 'kumaş', 'tercih', 'edilerek', 'üretilen', 'gömlek', 'günlük', 'kullanım', 'uygun', 'şık', 'tasarım', 'düğmeli', 'model', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'günlük', 'kullanım', 'uygun', 'şık', 'tasarım', 'düğmeli', 'model']"
"Elbise - askılı örme kumaş tercih edilerek üretilen bu elbise, düğmeli model, şık tasarım ve günlük kullanım için uygun. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: düğmeli model, şık tasarım, günlük kullanım için uygun",yeşil,elbise,"['elbise', 'askılı', 'örme', 'kumaş', 'tercih', 'edilerek', 'üretilen', 'elbise', 'düğmeli', 'model', 'şık', 'tasarım', 'günlük', 'kullanım', 'uygun', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'düğmeli', 'model', 'şık', 'tasarım', 'günlük', 'kullanım', 'uygun']"
"Ceket - düğmeli Her gardıropta olması gereken bu ceket, kot kumaş içeriğiyle nefes alabilir kumaş, kolay ütülenir, düğmeli model ve yumuşak doku. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: nefes alabilir kumaş, kolay ütülenir, düğmeli model, yumuşak doku",bej,ceket,"['ceket', 'düğmeli', 'gardıropta', 'olması', 'gereken', 'ceket', 'kot', 'kumaş', 'içeriğiyle', 'nefes', 'alabilir', 'kumaş', 'kolay', 'ütülenir', 'düğmeli', 'model', 'yumuşak', 'doku', 'hem', 'şıklık', 'hem', 'konfor', 'arada', 'öne', 'çıkan', 'özellikler', 'nefes', 'alabilir', 'kumaş', 'kolay', 'ütülenir', 'düğmeli', 'model', 'yumuşak', 'doku']"
"Etek - kalem Bu özel tasarım etek, saten yapısıyla kolay ütülenir, şık tasarım ve günlük kullanım için uygun. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: kolay ütülenir, şık tasarım, günlük kullanım için uygun",yeşil,etek,"['etek', 'kalem', 'özel', 'tasarım', 'etek', 'saten', 'yapısıyla', 'kolay', 'ütülenir', 'şık', 'tasarım', 'günlük', 'kullanım', 'uygun', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'kolay', 'ütülenir', 'şık', 'tasarım', 'günlük', 'kullanım', 'uygun']"
"Çanta - kapitoneli Her gardıropta olması gereken bu çanta, deri görünümlü içeriğiyle düğmeli model ve kolay ütülenir. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: düğmeli model, kolay ütülenir",bej,çanta,"['çanta', 'kapitoneli', 'gardıropta', 'olması', 'gereken', 'çanta', 'deri', 'görünümlü', 'içeriğiyle', 'düğmeli', 'model', 'kolay', 'ütülenir', 'ofisten', 'sokağa', 'ortama', 'uyum', 'sağlar', 'öne', 'çıkan', 'özellikler', 'düğmeli', 'model', 'kolay', 'ütülenir']"
"Elbise - askılı Elbise modeli, saten kumaştan üretilmiş olup kolay ütülenir, nefes alabilir kumaş ve şık tasarım. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: kolay ütülenir, nefes alabilir kumaş, şık tasarım",mavi,elbise,"['elbise', 'askılı', 'elbise', 'modeli', 'saten', 'kumaştan', 'üretilmiş', 'olup', 'kolay', 'ütülenir', 'nefes', 'alabilir', 'kumaş', 'şık', 'tasarım', 'ofisten', 'sokağa', 'ortama', 'uyum', 'sağlar', 'öne', 'çıkan', 'özellikler', 'kolay', 'ütülenir', 'nefes', 'alabilir', 'kumaş', 'şık', 'tasarım']"
"Elbise - askılı Elbise modeli, saten kumaştan üretilmiş olup düğmeli model ve günlük kullanım için uygun. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: düğmeli model, günlük kullanım için uygun",mavi,elbise,"['elbise', 'askılı', 'elbise', 'modeli', 'saten', 'kumaştan', 'üretilmiş', 'olup', 'düğmeli', 'model', 'günlük', 'kullanım', 'uygun', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'düğmeli', 'model', 'günlük', 'kullanım', 'uygun']"
"Etek - pileli Yeni sezonun favori parçalarından biri olan bu etek, %100 pamuk kumaşı sayesinde kolay ütülenir, nefes alabilir kumaş ve şık tasarım. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: kolay ütülenir, nefes alabilir kumaş, şık tasarım",mor,etek,"['etek', 'pileli', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'etek', 'pamuk', 'kumaşı', 'sayesinde', 'kolay', 'ütülenir', 'nefes', 'alabilir', 'kumaş', 'şık', 'tasarım', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'kolay', 'ütülenir', 'nefes', 'alabilir', 'kumaş', 'şık', 'tasarım']"
"Pantolon - rahat kesim Bu özel tasarım pantolon, viskon yapısıyla kolay ütülenir, günlük kullanım için uygun, rahat kalıp ve esnek yapı. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: kolay ütülenir, günlük kullanım için uygun, rahat kalıp, esnek yapı",gri,pantolon,"['pantolon', 'rahat', 'kesim', 'özel', 'tasarım', 'pantolon', 'viskon', 'yapısıyla', 'kolay', 'ütülenir', 'günlük', 'kullanım', 'uygun', 'rahat', 'kalıp', 'esnek', 'yapı', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'kolay', 'ütülenir', 'günlük', 'kullanım', 'uygun', 'rahat', 'kalıp', 'esnek', 'yapı']"
"Ceket - düğmeli Bu özel tasarım ceket, viskon yapısıyla esnek yapı ve düğmeli model. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: esnek yapı, düğmeli model",pembe,ceket,"['ceket', 'düğmeli', 'özel', 'tasarım', 'ceket', 'viskon', 'yapısıyla', 'esnek', 'yapı', 'düğmeli', 'model', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'esnek', 'yapı', 'düğmeli', 'model']"
"Sweatshirt - oversize Yeni sezonun favori parçalarından biri olan bu sweatshirt, kot kumaş kumaşı sayesinde düğmeli model, günlük kullanım için uygun ve rahat kalıp. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: düğmeli model, günlük kullanım için uygun, rahat kalıp",mavi,sweatshirt,"['sweatshirt', 'oversize', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'sweatshirt', 'kot', 'kumaş', 'kumaşı', 'sayesinde', 'düğmeli', 'model', 'günlük', 'kullanım', 'uygun', 'rahat', 'kalıp', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'düğmeli', 'model', 'günlük', 'kullanım', 'uygun', 'rahat', 'kalıp']"
"Bluz - volanlı Her gardıropta olması gereken bu bluz, likralı kumaş içeriğiyle şık tasarım ve düğmeli model. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: şık tasarım, düğmeli model",mavi,bluz,"['bluz', 'volanlı', 'gardıropta', 'olması', 'gereken', 'bluz', 'likralı', 'kumaş', 'içeriğiyle', 'şık', 'tasarım', 'düğmeli', 'model', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'şık', 'tasarım', 'düğmeli', 'model']"
"Sweatshirt - baskılı Her gardıropta olması gereken bu sweatshirt, kot kumaş içeriğiyle yumuşak doku ve kolay ütülenir. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: yumuşak doku, kolay ütülenir",bej,sweatshirt,"['sweatshirt', 'baskılı', 'gardıropta', 'olması', 'gereken', 'sweatshirt', 'kot', 'kumaş', 'içeriğiyle', 'yumuşak', 'doku', 'kolay', 'ütülenir', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'yumuşak', 'doku', 'kolay', 'ütülenir']"
"Pantolon - dar paça kot kumaş tercih edilerek üretilen bu pantolon, günlük kullanım için uygun, yumuşak doku ve çift cepli. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: günlük kullanım için uygun, yumuşak doku, çift cepli",gri,pantolon,"['pantolon', 'dar', 'paça', 'kot', 'kumaş', 'tercih', 'edilerek', 'üretilen', 'pantolon', 'günlük', 'kullanım', 'uygun', 'yumuşak', 'doku', 'çift', 'cepli', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'günlük', 'kullanım', 'uygun', 'yumuşak', 'doku', 'çift', 'cepli']"
