description,color,category
"Bluz - volanlı viskon tercih edilerek üretilen bu bluz, şık tasarım, kolay ütülenir ve günlük kullanım için uygun. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: şık tasarım, kolay ütülenir, günlük kullanım için uygun",mavi,bluz
"Çanta - el çantası Yeni sezonun favori parçalarından biri olan bu çanta, polyester kumaşı sayesinde yumuşak doku, nefes alabilir kumaş ve düğmeli model. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: yumuşak doku, nefes alabilir kumaş, düğmeli model",yeşil,çanta
"Gömlek - uzun kollu likralı kumaş tercih edilerek üretilen bu gömlek, günlük kullanım için uygun, şık tasarım ve düğmeli model. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: günlük kullanım için uygun, şık tasarım, düğmeli model",pembe,gömlek
"Elbise - askılı örme kumaş tercih edilerek üretilen bu elbise, düğmeli model, şık tasarım ve günlük kullanım için uygun. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: düğmeli model, şık tasarım, günlük kullanım için uygun",yeşil,elbise
"Ceket - düğmeli Her gardıropta olması gereken bu ceket, kot kumaş içeriğiyle nefes alabilir kumaş, kolay ütülenir, düğmeli model ve yumuşak doku. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: nefes alabilir kumaş, kolay ütülenir, düğmeli model, yumuşak doku",bej,ceket
"Etek - kalem Bu özel tasarım etek, saten yapısıyla kolay ütülenir, şık tasarım ve günlük kullanım için uygun. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: kolay ütülenir, şık tasarım, günlük kullanım için uygun",yeşil,etek
"Çanta - kapitoneli Her gardıropta olması gereken bu çanta, deri görünümlü içeriğiyle düğmeli model ve kolay ütülenir. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: düğmeli model, kolay ütülenir",bej,çanta
"Elbise - askılı Elbise modeli, saten kumaştan üretilmiş olup kolay ütülenir, nefes alabilir kumaş ve şık tasarım. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: kolay ütülenir, nefes alabilir kumaş, şık tasarım",mavi,elbise
"Elbise - askılı Elbise modeli, saten kumaştan üretilmiş olup düğmeli model ve günlük kullanım için uygun. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: düğmeli model, günlük kullanım için uygun",mavi,elbise
"Etek - pileli Yeni sezonun favori parçalarından biri olan bu etek, %100 pamuk kumaşı sayesinde kolay ütülenir, nefes alabilir kumaş ve şık tasarım. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: kolay ütülenir, nefes alabilir kumaş, şık tasarım",mor,etek
"Pantolon - rahat kesim Bu özel tasarım pantolon, viskon yapısıyla kolay ütülenir, günlük kullanım için uygun, rahat kalıp ve esnek yapı. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: kolay ütülenir, günlük kullanım için uygun, rahat kalıp, esnek yapı",gri,pantolon
"Ceket - düğmeli Bu özel tasarım ceket, viskon yapısıyla esnek yapı ve düğmeli model. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: esnek yapı, düğmeli model",pembe,ceket
"Sweatshirt - oversize Yeni sezonun favori parçalarından biri olan bu sweatshirt, kot kumaş kumaşı sayesinde düğmeli model, günlük kullanım için uygun ve rahat kalıp. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: düğmeli model, günlük kullanım için uygun, rahat kalıp",mavi,sweatshirt
"Bluz - volanlı Her gardıropta olması gereken bu bluz, likralı kumaş içeriğiyle şık tasarım ve düğmeli model. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: şık tasarım, düğmeli model",mavi,bluz
"Sweatshirt - baskılı Her gardıropta olması gereken bu sweatshirt, kot kumaş içeriğiyle yumuşak doku ve kolay ütülenir. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: yumuşak doku, kolay ütülenir",bej,sweatshirt
"Pantolon - dar paça kot kumaş tercih edilerek üretilen bu pantolon, günlük kullanım için uygun, yumuşak doku ve çift cepli. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: günlük kullanım için uygun, yumuşak doku, çift cepli",gri,pantolon
"T-shirt - bisiklet yaka Yeni sezonun favori parçalarından biri olan bu t-shirt, deri görünümlü kumaşı sayesinde çift cepli ve kolay ütülenir. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: çift cepli, kolay ütülenir",pembe,t-shirt
"Pantolon - yüksek bel Bu özel tasarım pantolon, likralı kumaş yapısıyla çift cepli ve günlük kullanım için uygun. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: çift cepli, günlük kullanım için uygun",beyaz,pantolon
"Çanta - kapitoneli Çanta modeli, saten kumaştan üretilmiş olup kolay ütülenir, yumuşak doku, günlük kullanım için uygun ve düğmeli model. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: kolay ütülenir, yumuşak doku, günlük kullanım için uygun, düğmeli model",kırmızı,çanta
"Hırka - uzun Yeni sezonun favori parçalarından biri olan bu hırka, polyester kumaşı sayesinde nefes alabilir kumaş, yumuşak doku ve şık tasarım. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: nefes alabilir kumaş, yumuşak doku, şık tasarım",bej,hırka
"Bluz - kruvaze Bu özel tasarım bluz, deri görünümlü yapısıyla yumuşak doku ve çift cepli. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: yumuşak doku, çift cepli",yeşil,bluz
"Pantolon - lastikli Yeni sezonun favori parçalarından biri olan bu pantolon, likralı kumaş kumaşı sayesinde günlük kullanım için uygun ve çift cepli. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: günlük kullanım için uygun, çift cepli",siyah,pantolon
"Etek - asimetri kesim Her gardıropta olması gereken bu etek, %100 pamuk içeriğiyle nefes alabilir kumaş, düğmeli model, şık tasarım ve kolay ütülenir. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: nefes alabilir kumaş, düğmeli model, şık tasarım, kolay ütülenir",beyaz,etek
"Ceket - cepli Ceket modeli, örme kumaş kumaştan üretilmiş olup çift cepli, şık tasarım, esnek yapı ve düğmeli model. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: çift cepli, şık tasarım, esnek yapı, düğmeli model",mor,ceket
"T-shirt - oversize Yeni sezonun favori parçalarından biri olan bu t-shirt, örme kumaş kumaşı sayesinde çift cepli, esnek yapı ve şık tasarım. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: çift cepli, esnek yapı, şık tasarım",mavi,t-shirt
"Gömlek - uzun kollu Her gardıropta olması gereken bu gömlek, deri görünümlü içeriğiyle rahat kalıp ve kolay ütülenir. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: rahat kalıp, kolay ütülenir",bej,gömlek
"Çanta - el çantası Yeni sezonun favori parçalarından biri olan bu çanta, %100 pamuk kumaşı sayesinde nefes alabilir kumaş, günlük kullanım için uygun ve çift cepli. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: nefes alabilir kumaş, günlük kullanım için uygun, çift cepli",yeşil,çanta
"Pantolon - dar paça deri görünümlü tercih edilerek üretilen bu pantolon, yumuşak doku, düğmeli model, kolay ütülenir ve esnek yapı. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: yumuşak doku, düğmeli model, kolay ütülenir, esnek yapı",pembe,pantolon
"Gömlek - slim fit Her gardıropta olması gereken bu gömlek, deri görünümlü içeriğiyle günlük kullanım için uygun, yumuşak doku, rahat kalıp ve kolay ütülenir. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: günlük kullanım için uygun, yumuşak doku, rahat kalıp, kolay ütülenir",mavi,gömlek
"Çanta - el çantası Her gardıropta olması gereken bu çanta, polyester içeriğiyle düğmeli model, rahat kalıp ve kolay ütülenir. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: düğmeli model, rahat kalıp, kolay ütülenir",lacivert,çanta
"Hırka - cepli Her gardıropta olması gereken bu hırka, polyester içeriğiyle esnek yapı, nefes alabilir kumaş, kolay ütülenir ve düğmeli model. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: esnek yapı, nefes alabilir kumaş, kolay ütülenir, düğmeli model",pembe,hırka
"Etek - pileli Etek modeli, saten kumaştan üretilmiş olup rahat kalıp ve çift cepli. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: rahat kalıp, çift cepli",mavi,etek
"T-shirt - bisiklet yaka Bu özel tasarım t-shirt, viskon yapısıyla kolay ütülenir, nefes alabilir kumaş, çift cepli ve günlük kullanım için uygun. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: kolay ütülenir, nefes alabilir kumaş, çift cepli, günlük kullanım için uygun",lacivert,t-shirt
"Bluz - omzu açık Bu özel tasarım bluz, kot kumaş yapısıyla kolay ütülenir, rahat kalıp ve şık tasarım. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: kolay ütülenir, rahat kalıp, şık tasarım",pembe,bluz
"Hırka - örgü Hırka modeli, viskon kumaştan üretilmiş olup esnek yapı ve şık tasarım. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: esnek yapı, şık tasarım",gri,hırka
"Gömlek - klasik yaka Gömlek modeli, polyester kumaştan üretilmiş olup nefes alabilir kumaş, düğmeli model, günlük kullanım için uygun ve şık tasarım. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: nefes alabilir kumaş, düğmeli model, günlük kullanım için uygun, şık tasarım",mor,gömlek
"Sweatshirt - baskılı likralı kumaş tercih edilerek üretilen bu sweatshirt, şık tasarım ve nefes alabilir kumaş. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: şık tasarım, nefes alabilir kumaş",gri,sweatshirt
"Ceket - astar detaylı Her gardıropta olması gereken bu ceket, viskon içeriğiyle rahat kalıp, günlük kullanım için uygun, yumuşak doku ve nefes alabilir kumaş. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: rahat kalıp, günlük kullanım için uygun, yumuşak doku, nefes alabilir kumaş",beyaz,ceket
"Sweatshirt - baskılı Sweatshirt modeli, likralı kumaş kumaştan üretilmiş olup esnek yapı, günlük kullanım için uygun, düğmeli model ve yumuşak doku. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: esnek yapı, günlük kullanım için uygun, düğmeli model, yumuşak doku",gri,sweatshirt
"Hırka - cepli Hırka modeli, likralı kumaş kumaştan üretilmiş olup çift cepli, yumuşak doku ve nefes alabilir kumaş. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: çift cepli, yumuşak doku, nefes alabilir kumaş",yeşil,hırka
"Hırka - düğmeli kot kumaş tercih edilerek üretilen bu hırka, yumuşak doku, rahat kalıp, çift cepli ve nefes alabilir kumaş. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: yumuşak doku, rahat kalıp, çift cepli, nefes alabilir kumaş",kırmızı,hırka
"Ceket - astar detaylı Yeni sezonun favori parçalarından biri olan bu ceket, viskon kumaşı sayesinde nefes alabilir kumaş, düğmeli model, günlük kullanım için uygun ve rahat kalıp. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: nefes alabilir kumaş, düğmeli model, günlük kullanım için uygun, rahat kalıp",siyah,ceket
"Sweatshirt - oversize Yeni sezonun favori parçalarından biri olan bu sweatshirt, viskon kumaşı sayesinde düğmeli model, günlük kullanım için uygun ve nefes alabilir kumaş. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: düğmeli model, günlük kullanım için uygun, nefes alabilir kumaş",pembe,sweatshirt
"Çanta - kapitoneli Her gardıropta olması gereken bu çanta, polyester içeriğiyle rahat kalıp, nefes alabilir kumaş, çift cepli ve yumuşak doku. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: rahat kalıp, nefes alabilir kumaş, çift cepli, yumuşak doku",mavi,çanta
"Gömlek - düğmeli viskon tercih edilerek üretilen bu gömlek, kolay ütülenir, rahat kalıp ve esnek yapı. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: kolay ütülenir, rahat kalıp, esnek yapı",siyah,gömlek
"Bluz - dantel detaylı likralı kumaş tercih edilerek üretilen bu bluz, kolay ütülenir, çift cepli ve rahat kalıp. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: kolay ütülenir, çift cepli, rahat kalıp",lacivert,bluz
"Sweatshirt - baskılı Yeni sezonun favori parçalarından biri olan bu sweatshirt, saten kumaşı sayesinde kolay ütülenir, nefes alabilir kumaş ve günlük kullanım için uygun. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: kolay ütülenir, nefes alabilir kumaş, günlük kullanım için uygun",lacivert,sweatshirt
"Gömlek - klasik yaka Gömlek modeli, %100 pamuk kumaştan üretilmiş olup esnek yapı ve rahat kalıp. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: esnek yapı, rahat kalıp",bej,gömlek
"Sweatshirt - fermuarlı Sweatshirt modeli, polyester kumaştan üretilmiş olup çift cepli, nefes alabilir kumaş ve kolay ütülenir. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: çift cepli, nefes alabilir kumaş, kolay ütülenir",beyaz,sweatshirt
"Bluz - omzu açık viskon tercih edilerek üretilen bu bluz, çift cepli, şık tasarım ve kolay ütülenir. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: çift cepli, şık tasarım, kolay ütülenir",yeşil,bluz
"Hırka - uzun Bu özel tasarım hırka, saten yapısıyla esnek yapı ve kolay ütülenir. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: esnek yapı, kolay ütülenir",beyaz,hırka
"Ceket - düğmeli polyester tercih edilerek üretilen bu ceket, kolay ütülenir, şık tasarım, çift cepli ve rahat kalıp. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: kolay ütülenir, şık tasarım, çift cepli, rahat kalıp",mavi,ceket
"Çanta - kapitoneli Çanta modeli, polyester kumaştan üretilmiş olup nefes alabilir kumaş, çift cepli, rahat kalıp ve kolay ütülenir. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: nefes alabilir kumaş, çift cepli, rahat kalıp, kolay ütülenir",yeşil,çanta
"Sweatshirt - fermuarlı Yeni sezonun favori parçalarından biri olan bu sweatshirt, saten kumaşı sayesinde düğmeli model, yumuşak doku, günlük kullanım için uygun ve kolay ütülenir. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: düğmeli model, yumuşak doku, günlük kullanım için uygun, kolay ütülenir",beyaz,sweatshirt
"Gömlek - düğmeli Bu özel tasarım gömlek, örme kumaş yapısıyla kolay ütülenir, şık tasarım ve esnek yapı. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: kolay ütülenir, şık tasarım, esnek yapı",pembe,gömlek
"Hırka - düğmeli Yeni sezonun favori parçalarından biri olan bu hırka, saten kumaşı sayesinde günlük kullanım için uygun ve esnek yapı. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: günlük kullanım için uygun, esnek yapı",yeşil,hırka
